Player,Ball lands,Ball hit from ,Stroke Type,Ball hit to ,In/out,Forced/Unforced,Double Fault,End of Point,End of Game,End of Set,End of Match
F,,Z12,S,Z3,Net,Unforced,,,,,
F,,Z12 ,S,Z2,In,,,,,,
DP,Z2,Z11,BT,Z8,In,,,,,,
F,Z8,Z12,FT,Z7,In,,,,,,
DP,Z7,Z11,FS,Z3,Net,Forced,,Yes,,,
F,,Z13,S,Z4,In,,,,,,
DP,Z4,Z13,FT,Z4,Net,Forced,,Yes,,,
F,,Z12,S,Z2,In,,,,,,
DP,Z2,Z11,FT,Z8,In,,,,,,
F,Z8,Z12,FT,Z9,In,,,,,,
DP,Z9,Z13,BT,Z5,Net,Unforced,,Yes,,,
F,,Z13,S,Z4,Net,Unforced,,,,,
F,,Z13,S,Z5,In,,,,,,
DP,Z5,Z14,BT,Z10,In,,,,,,
F,Z10,Z14,BT,Z9,In,,,,,,
DP,Z9,Z13,FT,Z5,In,,,,,,
F,Z5,Z14,BT,Z10,Wide,Unforced,,Yes,,,
F,,Z12,S,Z3,In,,,,,,
DP,Z3,Z12,BS,Z8,In,,,,,,
F,Z8,Z8,FT,Z14,In,,,,,,
DP,Z14,Z14,BT,Z1,Net,Unforced,,Yes,Yes,,
DP,,Z12,S,Z3,Net,Unforced,,,,,
DP,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BS,Z9,In,,,,,,
DP,Z9,Z13,FT,Z4,iN,,,,,,
F,Z4,Z13,BS,Z12,In,,,,,,
DP,Z12,Z11,FT,Z2,In,,,,,,
F,Z2,Z7,FT,Z7,In,,,,,,
DP,Z7,Z11,FT,Z5,IN,,,,,,
F,Z5,Z5,BV,Z5,In,,,,,,
DP,Z5,-,-,-,No Hit,Forced,,Yes,,,
DP,,Z13,S,Z5,Net,Unforced,,,,,
DP,,Z13,S,Z5,In,,,,,,
F,Z5,Z10,BS,Z8,IN,,,,,,
DP,Z8,Z13,FT,Z7,In,,,,,,
F,Z7,Z11,FT,Z8,In,,,,,,
DP,Z8,Z11,FT,Z10,In,,,,,,
F,Z10,Z14,BT,Z2,Net,Unforced,,Yes,,,
DP,,Z12,S,Z4,Net,Unforced,,,,,
DP,,Z12,S,Z4,In,,,,,,
F,Z4,Z8,BS,Z14,In,,,,,,
DP,Z14,Z13,FT,Z5,In,,,,,,
F,Z5,Z13,FT,Z5,IN,,,,,,
DP,Z5,Z14,BT,Z3,In,,,,,,
F,Z3,Z8,FT,Z4,In,,,,,,
DP,Z4,Z13,FT,Z6,In,,,,,,
F,Z6,Z16,BV,Z10,In,,,,,,
DP,Z10,Z14,BT,Z15,In,,,,,,
F,Z15,Z15,FV,Z2,In,,,,,,
DP,Z2,-,-,-,No HIt,Forced,,Yes,,,
DP,,Z13,S,Z4,Let,Unforced,,,,,
DP,,Z13,S,Z5,Long,Unforced,,,,,
DP,,Z13,S,Z5,IN,,,,,,
F,Z5,Z10,BS,Z10,In,,,,,,
DP,Z10,Z9,FT,Z10,In,,,,,,
F,Z10,Z14,BS,Z5,Wide,Forced ,,Yes,,,
DP,,Z12,S,Z3,Long,,,,,,
DP,,Z12,S,Z2,In,,,,,,
F,Z2,Z12,FT,Z2,In,,,,,,
DP,Z2,-,-,-,No Hit,Forced,,Yes,,,
DP,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BS,Z4,In,,,,,,
DP,Z4,Z9,FT,Z11,In,,,,,,
F,Z11,Z11,FT,Z1 ,Net,Unforced,,Yes,,,
DP,,Z12,S,Z3,Wide,Unforced,,,,,
DP,,Z12,S,Z2,In,,,,,,
F,Z2,Z8,BS,Z9,In,,,,,,
DP,Z9,Z8,FT,Z10,In,,,,,,
F,Z10,Z14,BS,Z9,In,,,,,,
DP,Z9,Z13,FT,Z7,In,,,,,,
F,Z7,Z11,FT,Z7,In,,,,,,
DP,Z7,Z11,BS,Z19,In,,,,,,
F,Z19,Z5,FO,Z5,In,,,,,,
DP,Z5,-,-,-,No HIt,Forced,,Yes,,,
DP,,Z13,S,Z6,Let,Unforced,,,,,
DP,,Z13,S,Z5,In,,,,,,
F,Z5,Z10,BS,Z9,In,,,,,,
DP,Z9,Z13,FT,Z9,In,,,,,,
F,Z9,Z13,BT,Z9,In,,,,,,
DP,Z9,Z12,FT,Z10,In,,,,,,
F,Z10,Z14,FT,Z9,In,,,,,,
DP,Z9,Z14,FT,Z5,In,,,,,,
F,Z5,Z14,BS,Z7,In,,,,,,
DP,Z7,Z12,FT,Z9,In,,,,,,
F,Z9,Z14,BS,Z4,In,,,,,,
DP,Z4,Z9,FT,Z11,In,,,,,,
F,Z11,-,-,-,No Hit,Forced,,Yes,,,
DP,,Z12,S,Z3,Long,Unforced,,,,,
DP,,Z12,S,Z3,IN,,,,,,
F,Z3,Z12,BS,Z10,In,,,,,,
DP,Z10,Z10,FT,Z9,In,,,,,,
F,Z9,Z13,FT,Z8,In,,,,,,
DP,Z8,Z12,FT,Z10,Long,Unforced,,Yes,,,
DP,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BS,Z3,In,,,,,,
DP,Z3,Z8,FT,Z7,In,,,,,,
F,Z7,Z11,FT,Z6,Net,Forced,,Yes,,,
DP,,Z12,S,Z3,IN,,,,,,
F,Z3,Z12,BS,Z5,In,,,,,,
DP,Z5,Z9,BT,Z9,In,,,,,,
F,Z9,Z14,FT,Z8,In,,,,,,
DP,Z8,Z12,FT,Z7,In,,,,,,
F,Z7,Z11,FT,Z9,In,,,,,,
DP,Z9,Z13,BT,Z9,In,,,,,,
F,Z9,Z13,BS,Z5,In,,,,,,
