"","Player","Server","Stroke.Type","Opp.Stroke.Type","Ball.hit.to.lag4","Ball.hit.to.lag3","Ball.hit.to.lag2","Ball.lands","Ball.hit.from","Ball.hit.to","In.out","id","rally_num"
"1","F","1","FT","BT",NA,NA,"Z2","Z3","Z3","Z2","In",3,1
"2","F","1","FT","FT",NA,NA,"Z2","Z3","Z3","Z4","In",9,3
"3","F","1","BT","BT",NA,NA,"Z5","Z5","Z5","Z4","In",13,4
"4","DP","0","FT","BT",NA,"Z5","Z5","Z4","Z4","Z5","In",14,4
"5","F","1","BT","FT","Z5","Z5","Z4","Z5","Z5","Z5","Wide",15,4
"6","F","1","FT","BS",NA,NA,"Z3","Z3","Z3","Z5","In",18,5
"7","DP","1","FT","BS",NA,NA,"Z3","Z4","Z4","Z4","In",22,6
"8","F","0","BS","FT",NA,"Z3","Z4","Z4","Z4","Z3","In",23,6
"9","DP","1","FT","BS","Z3","Z4","Z4","Z3","Z2","Z2","In",24,6
"10","F","0","FT","FT","Z4","Z4","Z3","Z2","Z2","Z2","In",25,6
"11","DP","1","FT","FT","Z4","Z3","Z2","Z2","Z2","Z5","In",26,6
"12","F","0","BV","FT","Z3","Z2","Z2","Z5","Z5","Z5","In",27,6
"13","DP","1","FT","BS",NA,NA,"Z5","Z3","Z4","Z2","In",30,7
"14","F","0","FT","FT",NA,"Z5","Z3","Z2","Z2","Z3","In",31,7
"15","DP","1","FT","FT","Z5","Z3","Z2","Z3","Z2","Z5","In",32,7
"16","DP","1","FT","BS",NA,NA,"Z4","Z5","Z4","Z5","In",36,8
"17","F","0","FT","FT",NA,"Z4","Z5","Z5","Z4","Z5","In",37,8
"18","DP","1","BT","FT","Z4","Z5","Z5","Z5","Z5","Z3","In",38,8
"19","F","0","FT","BT","Z5","Z5","Z5","Z3","Z3","Z4","In",39,8
"20","DP","1","FT","FT","Z5","Z5","Z3","Z4","Z4","Z6","In",40,8
"21","F","0","BV","FT","Z5","Z3","Z4","Z6","AT_NET","Z5","In",41,8
"22","DP","1","BT","BV","Z3","Z4","Z6","Z5","Z5","Z1","In",42,8
"23","F","0","FV","BT","Z4","Z6","Z5","Z1","Z1","Z2","In",43,8
"24","DP","1","FT","BS",NA,NA,"Z5","Z5","Z4","Z5","In",46,9
"25","F","0","BS","FT",NA,"Z5","Z5","Z5","Z5","Z5","Wide",47,9
"26","DP","1","FT","BS",NA,NA,"Z5","Z4","Z4","Z2","In",52,11
"27","DP","1","FT","BS",NA,NA,"Z2","Z4","Z3","Z5","In",56,12
"28","F","0","BS","FT",NA,"Z2","Z4","Z5","Z5","Z4","In",57,12
"29","DP","1","FT","BS","Z2","Z4","Z5","Z4","Z4","Z2","In",58,12
"30","F","0","FT","FT","Z4","Z5","Z4","Z2","Z2","Z2","In",59,12
"31","F","0","FO","BS","Z4","Z2","Z2","AT_NET","Z5","Z5","In",61,12
"32","DP","1","FT","BS",NA,NA,"Z5","Z4","Z4","Z4","In",64,13
"33","F","0","BT","FT",NA,"Z5","Z4","Z4","Z4","Z4","In",65,13
"34","DP","1","FT","BT","Z5","Z4","Z4","Z4","Z3","Z5","In",66,13
"35","F","0","FT","FT","Z4","Z4","Z4","Z5","Z5","Z4","In",67,13
"36","DP","1","FT","FT","Z4","Z4","Z5","Z4","Z5","Z5","In",68,13
"37","F","0","BS","FT","Z4","Z5","Z4","Z5","Z5","Z2","In",69,13
"38","DP","1","FT","BS","Z5","Z4","Z5","Z2","Z3","Z4","In",70,13
"39","F","0","BS","FT","Z4","Z5","Z2","Z4","Z5","Z4","In",71,13
"40","DP","1","FT","BS","Z5","Z2","Z4","Z4","Z4","Z2","In",72,13
"41","DP","1","FT","BS",NA,NA,"Z3","Z5","Z5","Z4","In",75,14
"42","F","0","FT","FT",NA,"Z3","Z5","Z4","Z4","Z3","In",76,14
"43","DP","1","FT","FT","Z3","Z5","Z4","Z3","Z3","Z5","Long",77,14
"44","DP","1","FT","BS",NA,NA,"Z5","Z3","Z3","Z2","In",80,15
"45","DP","1","BT","BS",NA,NA,"Z3","Z5","Z4","Z4","In",84,16
"46","F","0","FT","BT",NA,"Z3","Z5","Z4","Z5","Z3","In",85,16
"47","DP","1","FT","FT","Z3","Z5","Z4","Z3","Z3","Z2","In",86,16
"48","F","0","FT","FT","Z5","Z4","Z3","Z2","Z2","Z4","In",87,16
"49","DP","1","BT","FT","Z4","Z3","Z2","Z4","Z4","Z4","In",88,16
"50","F","0","BS","BT","Z3","Z2","Z4","Z4","Z4","Z5","In",89,16
"51","DP","1","BT","BS","Z2","Z4","Z4","Z5","Z5","Z5","In",90,16
"52","F","0","BS","BT","Z4","Z4","Z5","Z5","Z5","Z4","In",91,16
"53","DP","1","BT","BS","Z4","Z5","Z5","Z4","Z5","Z3","In",92,16
"54","F","0","FT","BT","Z5","Z5","Z4","Z3","Z3","Z5","In",93,16
"55","DP","1","BT","FT","Z5","Z4","Z3","Z5","Z5","Z4","In",94,16
"56","F","0","FT","BT","Z4","Z3","Z5","Z4","Z4","Z2","In",95,16
"57","DP","1","FT","FT","Z3","Z5","Z4","Z2","Z2","Z2","Wide",96,16
"58","DP","1","FT","FT",NA,NA,"Z2","Z3","Z3","Z5","In",101,18
"59","F","0","FT","FT",NA,"Z2","Z3","Z5","Z4","Z3","In",102,18
"60","DP","1","FT","FT","Z2","Z3","Z5","Z3","Z3","Z3","In",103,18
"61","F","0","FT","FT","Z3","Z5","Z3","Z3","Z2","Z5","In",104,18
"62","DP","1","BT","FT","Z5","Z3","Z3","Z5","Z4","Z4","In",105,18
"63","F","0","FT","BT","Z3","Z3","Z5","Z4","Z5","Z3","In",106,18
"64","DP","1","FT","FT","Z3","Z5","Z4","Z3","Z3","Z4","Long",107,18
"65","DP","1","FT","BS",NA,NA,"Z5","Z4","Z4","Z4","In",110,19
"66","F","0","BS","FT",NA,"Z5","Z4","Z4","Z4","Z5","In",111,19
"67","DP","1","FT","BS","Z5","Z4","Z4","Z5","Z5","Z5","In",112,19
"68","F","0","BT","FT","Z4","Z4","Z5","Z5","Z5","Z5","In",113,19
"69","DP","1","FT","BT","Z4","Z5","Z5","Z5","Z5","Z2","In",114,19
"70","F","0","FT","FT","Z5","Z5","Z5","Z2","Z2","Z1","In",115,19
"71","DP","1","BO","FT","Z5","Z5","Z2","Z1","Z6","Z6","In",116,19
"72","F","0","BS","BO","Z5","Z2","Z1","Z6","Z5","Z6","In",117,19
"73","DP","1","BS","BS","Z2","Z1","Z6","Z6","Z6","Z2","In",118,19
"74","F","0","FT","BS","Z1","Z6","Z6","Z2","Z2","Z2","In",119,19
"75","F","1","FT","BT",NA,NA,"Z3","Z4","Z4","Z2","In",122,20
"76","DP","0","FT","FT",NA,"Z3","Z4","Z2","Z2","Z2","In",123,20
"77","F","1","FT","FT","Z3","Z4","Z2","Z2","Z2","Z5","Long",124,20
"78","F","1","FT","FS",NA,NA,"Z4","Z5","Z5","Z4","In",127,21
"79","DP","0","FT","FT",NA,"Z4","Z5","Z4","Z5","Z4","In",128,21
"80","F","1","FT","FT","Z4","Z5","Z4","Z4","Z5","Z3","In",129,21
"81","F","1","BS","BT",NA,NA,"Z2","Z4","Z4","Z5","In",133,22
"82","DP","0","BT","BS",NA,"Z2","Z4","Z5","Z5","Z5","In",134,22
"83","F","1","BT","BT","Z2","Z4","Z5","Z5","Z5","Z4","In",135,22
"84","DP","0","BT","BT","Z4","Z5","Z5","Z4","Z5","Z4","In",136,22
"85","F","1","FT","BT","Z5","Z5","Z4","Z4","Z4","Z5","In",137,22
"86","DP","1","FT","FT",NA,NA,"Z5","Z4","Z4","Z4","In",148,27
"87","F","0","FT","FT",NA,"Z5","Z4","Z4","Z4","Z3","In",149,27
"88","F","1","FT","FT",NA,NA,"Z2","Z4","Z4","Z5","In",155,29
"89","DP","0","FT","FT",NA,"Z2","Z4","Z5","Z5","Z5","In",156,29
"90","F","1","BS","FT","Z2","Z4","Z5","Z5","Z4","Z5","In",157,29
"91","DP","0","FT","BS","Z4","Z5","Z5","Z5","Z5","Z5","In",158,29
"92","F","1","BT","FT","Z5","Z5","Z5","Z5","Z5","Z5","In",159,29
"93","DP","0","FT","BT","Z5","Z5","Z5","Z5","Z5","Z4","In",160,29
"94","F","1","BT","FT","Z5","Z5","Z5","Z4","Z5","Z5","In",161,29
"95","DP","0","FT","BT","Z5","Z5","Z4","Z5","Z5","Z5","In",162,29
"96","F","1","BT","FT","Z5","Z4","Z5","Z5","Z5","Z5","In",163,29
