"Player","Server","Stroke.Type","Opp.Stroke.Type","Ball.hit.to.lag4","Ball.hit.to.lag3","Ball.hit.to.lag2","Ball.lands","Ball.hit.from","Ball.hit.to","In.out","id","rally_num","hit.to.string","rally_length"
"DP","0","BT",NA,NA,NA,NA,"Z2","Z2","Z3","In",2,1,"Z2_Z8_Z7_Z3",4
"F","1","FT","BT",NA,NA,"Z2","Z3","Z3","Z2","In",3,1,"Z2_Z8_Z7_Z3",4
"DP","0","FT",NA,NA,NA,NA,"Z2","Z2","Z3","In",8,3,"Z2_Z8_Z9_Z5",4
"F","1","FT","FT",NA,NA,"Z2","Z3","Z3","Z4","In",9,3,"Z2_Z8_Z9_Z5",4
"DP","0","BT",NA,NA,NA,NA,"Z5","Z5","Z5","In",12,4,"Z5_Z10_Z9_Z5_Z10",5
"F","1","BT","BT",NA,NA,"Z5","Z5","Z5","Z4","In",13,4,"Z5_Z10_Z9_Z5_Z10",5
"DP","0","FT","BT",NA,"Z5","Z5","Z4","Z4","Z5","In",14,4,"Z5_Z10_Z9_Z5_Z10",5
"F","1","BT","FT","Z5","Z5","Z4","Z5","Z5","Z5","Wide",15,4,"Z5_Z10_Z9_Z5_Z10",5
"DP","0","BS",NA,NA,NA,NA,"Z3","Z3","Z3","In",17,5,"Z3_Z8_Z14_Z1",4
"F","1","FT","BS",NA,NA,"Z3","Z3","Z3","Z5","In",18,5,"Z3_Z8_Z14_Z1",4
"F","0","BS",NA,NA,NA,NA,"Z3","Z3","Z4","In",21,6,"Z3_Z9_Z4_Z12_Z2_Z7_Z5_Z5",8
"DP","1","FT","BS",NA,NA,"Z3","Z4","Z4","Z4","In",22,6,"Z3_Z9_Z4_Z12_Z2_Z7_Z5_Z5",8
"F","0","BS","FT",NA,"Z3","Z4","Z4","Z4","Z3","In",23,6,"Z3_Z9_Z4_Z12_Z2_Z7_Z5_Z5",8
"DP","1","FT","BS","Z3","Z4","Z4","Z3","Z2","Z2","In",24,6,"Z3_Z9_Z4_Z12_Z2_Z7_Z5_Z5",8
"F","0","FT","FT","Z4","Z4","Z3","Z2","Z2","Z2","In",25,6,"Z3_Z9_Z4_Z12_Z2_Z7_Z5_Z5",8
"DP","1","FT","FT","Z4","Z3","Z2","Z2","Z2","Z5","In",26,6,"Z3_Z9_Z4_Z12_Z2_Z7_Z5_Z5",8
"F","0","BV","FT","Z3","Z2","Z2","Z5","Z5","Z5","In",27,6,"Z3_Z9_Z4_Z12_Z2_Z7_Z5_Z5",8
"F","0","BS",NA,NA,NA,NA,"Z5","Z5","Z3","In",29,7,"Z5_Z8_Z7_Z8_Z10_Z2",6
"DP","1","FT","BS",NA,NA,"Z5","Z3","Z4","Z2","In",30,7,"Z5_Z8_Z7_Z8_Z10_Z2",6
"F","0","FT","FT",NA,"Z5","Z3","Z2","Z2","Z3","In",31,7,"Z5_Z8_Z7_Z8_Z10_Z2",6
"DP","1","FT","FT","Z5","Z3","Z2","Z3","Z2","Z5","In",32,7,"Z5_Z8_Z7_Z8_Z10_Z2",6
"F","0","BS",NA,NA,NA,NA,"Z4","Z3","Z5","In",35,8,"Z4_Z14_Z5_Z5_Z3_Z4_Z6_Z10_Z15_Z2",10
"DP","1","FT","BS",NA,NA,"Z4","Z5","Z4","Z5","In",36,8,"Z4_Z14_Z5_Z5_Z3_Z4_Z6_Z10_Z15_Z2",10
"F","0","FT","FT",NA,"Z4","Z5","Z5","Z4","Z5","In",37,8,"Z4_Z14_Z5_Z5_Z3_Z4_Z6_Z10_Z15_Z2",10
"DP","1","BT","FT","Z4","Z5","Z5","Z5","Z5","Z3","In",38,8,"Z4_Z14_Z5_Z5_Z3_Z4_Z6_Z10_Z15_Z2",10
"F","0","FT","BT","Z5","Z5","Z5","Z3","Z3","Z4","In",39,8,"Z4_Z14_Z5_Z5_Z3_Z4_Z6_Z10_Z15_Z2",10
"DP","1","FT","FT","Z5","Z5","Z3","Z4","Z4","Z6","In",40,8,"Z4_Z14_Z5_Z5_Z3_Z4_Z6_Z10_Z15_Z2",10
"F","0","BV","FT","Z5","Z3","Z4","Z6","AT_NET","Z5","In",41,8,"Z4_Z14_Z5_Z5_Z3_Z4_Z6_Z10_Z15_Z2",10
"DP","1","BT","BV","Z3","Z4","Z6","Z5","Z5","Z1","In",42,8,"Z4_Z14_Z5_Z5_Z3_Z4_Z6_Z10_Z15_Z2",10
"F","0","FV","BT","Z4","Z6","Z5","Z1","Z1","Z2","In",43,8,"Z4_Z14_Z5_Z5_Z3_Z4_Z6_Z10_Z15_Z2",10
"F","0","BS",NA,NA,NA,NA,"Z5","Z5","Z5","In",45,9,"Z5_Z10_Z10_Z5",4
"DP","1","FT","BS",NA,NA,"Z5","Z5","Z4","Z5","In",46,9,"Z5_Z10_Z10_Z5",4
"F","0","BS","FT",NA,"Z5","Z5","Z5","Z5","Z5","Wide",47,9,"Z5_Z10_Z10_Z5",4
"F","0","FT",NA,NA,NA,NA,"Z2","Z3","Z2","In",49,10,"Z2_Z2",2
"F","0","BS",NA,NA,NA,NA,"Z5","Z5","Z4","In",51,11,"Z5_Z4_Z11_Z1",4
"DP","1","FT","BS",NA,NA,"Z5","Z4","Z4","Z2","In",52,11,"Z5_Z4_Z11_Z1",4
"F","0","BS",NA,NA,NA,NA,"Z2","Z3","Z4","In",55,12,"Z2_Z9_Z10_Z9_Z7_Z7_Z19_Z5",8
"DP","1","FT","BS",NA,NA,"Z2","Z4","Z3","Z5","In",56,12,"Z2_Z9_Z10_Z9_Z7_Z7_Z19_Z5",8
"F","0","BS","FT",NA,"Z2","Z4","Z5","Z5","Z4","In",57,12,"Z2_Z9_Z10_Z9_Z7_Z7_Z19_Z5",8
"DP","1","FT","BS","Z2","Z4","Z5","Z4","Z4","Z2","In",58,12,"Z2_Z9_Z10_Z9_Z7_Z7_Z19_Z5",8
"F","0","FT","FT","Z4","Z5","Z4","Z2","Z2","Z2","In",59,12,"Z2_Z9_Z10_Z9_Z7_Z7_Z19_Z5",8
"F","0","BS",NA,NA,NA,NA,"Z5","Z5","Z4","In",63,13,"Z5_Z9_Z9_Z9_Z10_Z9_Z5_Z7_Z9_Z4_Z11",11
"DP","1","FT","BS",NA,NA,"Z5","Z4","Z4","Z4","In",64,13,"Z5_Z9_Z9_Z9_Z10_Z9_Z5_Z7_Z9_Z4_Z11",11
"F","0","BT","FT",NA,"Z5","Z4","Z4","Z4","Z4","In",65,13,"Z5_Z9_Z9_Z9_Z10_Z9_Z5_Z7_Z9_Z4_Z11",11
"DP","1","FT","BT","Z5","Z4","Z4","Z4","Z3","Z5","In",66,13,"Z5_Z9_Z9_Z9_Z10_Z9_Z5_Z7_Z9_Z4_Z11",11
"F","0","FT","FT","Z4","Z4","Z4","Z5","Z5","Z4","In",67,13,"Z5_Z9_Z9_Z9_Z10_Z9_Z5_Z7_Z9_Z4_Z11",11
"DP","1","FT","FT","Z4","Z4","Z5","Z4","Z5","Z5","In",68,13,"Z5_Z9_Z9_Z9_Z10_Z9_Z5_Z7_Z9_Z4_Z11",11
"F","0","BS","FT","Z4","Z5","Z4","Z5","Z5","Z2","In",69,13,"Z5_Z9_Z9_Z9_Z10_Z9_Z5_Z7_Z9_Z4_Z11",11
"DP","1","FT","BS","Z5","Z4","Z5","Z2","Z3","Z4","In",70,13,"Z5_Z9_Z9_Z9_Z10_Z9_Z5_Z7_Z9_Z4_Z11",11
"F","0","BS","FT","Z4","Z5","Z2","Z4","Z5","Z4","In",71,13,"Z5_Z9_Z9_Z9_Z10_Z9_Z5_Z7_Z9_Z4_Z11",11
"DP","1","FT","BS","Z5","Z2","Z4","Z4","Z4","Z2","In",72,13,"Z5_Z9_Z9_Z9_Z10_Z9_Z5_Z7_Z9_Z4_Z11",11
"F","0","BS",NA,NA,NA,NA,"Z3","Z3","Z5","In",74,14,"Z3_Z10_Z9_Z8_Z10",5
"DP","1","FT","BS",NA,NA,"Z3","Z5","Z5","Z4","In",75,14,"Z3_Z10_Z9_Z8_Z10",5
"F","0","FT","FT",NA,"Z3","Z5","Z4","Z4","Z3","In",76,14,"Z3_Z10_Z9_Z8_Z10",5
"DP","1","FT","FT","Z3","Z5","Z4","Z3","Z3","Z5","Long",77,14,"Z3_Z10_Z9_Z8_Z10",5
"F","0","BS",NA,NA,NA,NA,"Z5","Z5","Z3","In",79,15,"Z5_Z3_Z7_Z6",4
"DP","1","FT","BS",NA,NA,"Z5","Z3","Z3","Z2","In",80,15,"Z5_Z3_Z7_Z6",4
"F","0","BS",NA,NA,NA,NA,"Z3","Z3","Z5","In",83,16,"Z3_Z5_Z9_Z8_Z7_Z9_Z9_Z5_Z10_Z9_Z8_Z14_Z9_Z7_Z7",15
"DP","1","BT","BS",NA,NA,"Z3","Z5","Z4","Z4","In",84,16,"Z3_Z5_Z9_Z8_Z7_Z9_Z9_Z5_Z10_Z9_Z8_Z14_Z9_Z7_Z7",15
"F","0","FT","BT",NA,"Z3","Z5","Z4","Z5","Z3","In",85,16,"Z3_Z5_Z9_Z8_Z7_Z9_Z9_Z5_Z10_Z9_Z8_Z14_Z9_Z7_Z7",15
"DP","1","FT","FT","Z3","Z5","Z4","Z3","Z3","Z2","In",86,16,"Z3_Z5_Z9_Z8_Z7_Z9_Z9_Z5_Z10_Z9_Z8_Z14_Z9_Z7_Z7",15
"F","0","FT","FT","Z5","Z4","Z3","Z2","Z2","Z4","In",87,16,"Z3_Z5_Z9_Z8_Z7_Z9_Z9_Z5_Z10_Z9_Z8_Z14_Z9_Z7_Z7",15
"DP","1","BT","FT","Z4","Z3","Z2","Z4","Z4","Z4","In",88,16,"Z3_Z5_Z9_Z8_Z7_Z9_Z9_Z5_Z10_Z9_Z8_Z14_Z9_Z7_Z7",15
"F","0","BS","BT","Z3","Z2","Z4","Z4","Z4","Z5","In",89,16,"Z3_Z5_Z9_Z8_Z7_Z9_Z9_Z5_Z10_Z9_Z8_Z14_Z9_Z7_Z7",15
"DP","1","BT","BS","Z2","Z4","Z4","Z5","Z5","Z5","In",90,16,"Z3_Z5_Z9_Z8_Z7_Z9_Z9_Z5_Z10_Z9_Z8_Z14_Z9_Z7_Z7",15
"F","0","BS","BT","Z4","Z4","Z5","Z5","Z5","Z4","In",91,16,"Z3_Z5_Z9_Z8_Z7_Z9_Z9_Z5_Z10_Z9_Z8_Z14_Z9_Z7_Z7",15
"DP","1","BT","BS","Z4","Z5","Z5","Z4","Z5","Z3","In",92,16,"Z3_Z5_Z9_Z8_Z7_Z9_Z9_Z5_Z10_Z9_Z8_Z14_Z9_Z7_Z7",15
"F","0","FT","BT","Z5","Z5","Z4","Z3","Z3","Z5","In",93,16,"Z3_Z5_Z9_Z8_Z7_Z9_Z9_Z5_Z10_Z9_Z8_Z14_Z9_Z7_Z7",15
"DP","1","BT","FT","Z5","Z4","Z3","Z5","Z5","Z4","In",94,16,"Z3_Z5_Z9_Z8_Z7_Z9_Z9_Z5_Z10_Z9_Z8_Z14_Z9_Z7_Z7",15
"F","0","FT","BT","Z4","Z3","Z5","Z4","Z4","Z2","In",95,16,"Z3_Z5_Z9_Z8_Z7_Z9_Z9_Z5_Z10_Z9_Z8_Z14_Z9_Z7_Z7",15
"DP","1","FT","FT","Z3","Z5","Z4","Z2","Z2","Z2","Wide",96,16,"Z3_Z5_Z9_Z8_Z7_Z9_Z9_Z5_Z10_Z9_Z8_Z14_Z9_Z7_Z7",15
"F","0","FT",NA,NA,NA,NA,"Z2","Z2","Z3","In",100,18,"Z2_Z8_Z5_Z8_Z8_Z5_Z9_Z8_Z13",9
"DP","1","FT","FT",NA,NA,"Z2","Z3","Z3","Z5","In",101,18,"Z2_Z8_Z5_Z8_Z8_Z5_Z9_Z8_Z13",9
"F","0","FT","FT",NA,"Z2","Z3","Z5","Z4","Z3","In",102,18,"Z2_Z8_Z5_Z8_Z8_Z5_Z9_Z8_Z13",9
"DP","1","FT","FT","Z2","Z3","Z5","Z3","Z3","Z3","In",103,18,"Z2_Z8_Z5_Z8_Z8_Z5_Z9_Z8_Z13",9
"F","0","FT","FT","Z3","Z5","Z3","Z3","Z2","Z5","In",104,18,"Z2_Z8_Z5_Z8_Z8_Z5_Z9_Z8_Z13",9
"DP","1","BT","FT","Z5","Z3","Z3","Z5","Z4","Z4","In",105,18,"Z2_Z8_Z5_Z8_Z8_Z5_Z9_Z8_Z13",9
"F","0","FT","BT","Z3","Z3","Z5","Z4","Z5","Z3","In",106,18,"Z2_Z8_Z5_Z8_Z8_Z5_Z9_Z8_Z13",9
"DP","1","FT","FT","Z3","Z5","Z4","Z3","Z3","Z4","Long",107,18,"Z2_Z8_Z5_Z8_Z8_Z5_Z9_Z8_Z13",9
"F","0","BS",NA,NA,NA,NA,"Z5","Z5","Z4","In",109,19,"Z5_Z4_Z9_Z10_Z10_Z5_Z7_Z15_Z6_Z6_Z11_Z7",12
"DP","1","FT","BS",NA,NA,"Z5","Z4","Z4","Z4","In",110,19,"Z5_Z4_Z9_Z10_Z10_Z5_Z7_Z15_Z6_Z6_Z11_Z7",12
"F","0","BS","FT",NA,"Z5","Z4","Z4","Z4","Z5","In",111,19,"Z5_Z4_Z9_Z10_Z10_Z5_Z7_Z15_Z6_Z6_Z11_Z7",12
"DP","1","FT","BS","Z5","Z4","Z4","Z5","Z5","Z5","In",112,19,"Z5_Z4_Z9_Z10_Z10_Z5_Z7_Z15_Z6_Z6_Z11_Z7",12
"F","0","BT","FT","Z4","Z4","Z5","Z5","Z5","Z5","In",113,19,"Z5_Z4_Z9_Z10_Z10_Z5_Z7_Z15_Z6_Z6_Z11_Z7",12
"DP","1","FT","BT","Z4","Z5","Z5","Z5","Z5","Z2","In",114,19,"Z5_Z4_Z9_Z10_Z10_Z5_Z7_Z15_Z6_Z6_Z11_Z7",12
