Player,Ball lands,Ball hit from,Stroke Type,Ball hit to,In/out,Forced/Unforced,Double Fault,End of Point,End of Game,End of Set,End of Match
N,,Z12,S ,Net,,,,,,,
N,,Z12,S,Z3,In,,,,,,
D,Z3,Z12,BT,Z9,In,,,,,,
N,Z9,Z12,FT,Z10,In,,,,,,
D,Z10,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z2,In,,,,,,
D,Z2,Z12,FT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,,Net,,,,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z13,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z9,In,,,,,,
D,Z9,Z13,FT,Z14,Long,Unforced,,Yes,,,
N,,Z12,S,Net,,,,,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z12,FT,Z4,In,,,,,,
N,Z4,Z12,FT,Z12,In,,,,,,
D,Z12,Z12,FT,Z8,In,,,,,,
N,Z8,Z11,FT,Z10,Long,Unforced,,Yes,,,
N,,Z13,S,Z5,Let,,,,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,,,,No Hit,Forced,,Yes,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z11,FT,Z6,Wide,Forced,,Yes,,,
N,,Z13,S,Z4,In,,,,,,
D,Z4,Z13,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z10,In,,,,,,
D,Z10,Z13,BT,Z10,In,,,,,,
N,Z10,Z13,FT,Z5,In,,,,,,
D,Z5,Z14,BT,Z7,In,,,,,,
N,Z7,Z12,BS,Z3,In,,,,,,
D,Z3,Z8,FT,Z8,In,,,,,,
N,Z8,Z12,BS,Z9,In,,,,,,
D,Z9,Z13,FT,Z10,In,,,,,,
N,Z10,Z14,FT,Z14,Long,Unforced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
D,Z3,Z12,BS,Z9,In,,,,,,
N,Z9,Z12,FT,Z7,In,,,,,,
D,Z7,Z12,FL,Z7,In,,,,,,
N,Z7,Z11,FT,Z10,In,,,,,,
D,Z10,Z13,BT,Z16,In,,,,,,
N,Z16,Z2,BV,Z1,In,,,,,,
D,Z1,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,Z9,Long,,,,,,
N,,Z13,S,Z5,In,,,,,,
D,Z5,Z14,FT,,Net,Unforced,,Yes,Yes,,
D,,Z12,S,Z1,In,,,,,,
N,Z1,,,,No Hit,Forced,,Yes,,,
D,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BT,Z9,In,,,,,,
D,Z9,Z13,BT,Z10,Wide,Unforced,,Yes,,,
D,,Z12,S,Z1 ,In,,,,,,
N,Z1,Z11,BS,Z10,In,,,,,,
D,Z10,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BS,Z5,In,,,,,,
D,Z5,Z9,BT,Z10,In,,,,,,
N,Z10,Z13,FT,Z7,In,,,,,,
D,Z7,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BS,Z6,Wide,Forced,,Yes,,,
D,,Z13,S,Z6,In,,,,,,
N,Z6,Z14,FT,Z10,In,,,,,,
D,Z10,Z14,BT,Z8,In,,,,,,
N,Z8,Z12,BT,Z8,In,,,,,,
D,Z8,Z12,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z13,Long,Unforced,,Yes,,,
D,,Z12,S,Z1,In,,,,,,
N,Z1,,,,No Hit,Forced,,Yes,Yes,,
N,,Z12,S,,Net,,,,,,
N,,Z12,S,Z2,In,,,,,,
D,Z2,Z12,FT,Z4,In,,,,,,
N,Z4,Z12,FT,Z7,In,,,,,,
D,Z7,Z12,FT,Z9,In,,,,,,
