player,ball lands,ball hit from,stroke type,ball hit to,in/out,forced/unforced,double fault,end of point,end of game,end of set,end of match
F,,Z12,S,Z3,in,,,,,,
N,Z3,,,,no hit,forced,,yes,,,
F,,Z13,S,Z5,in,,,,,,
N,Z5,Z14,FT,Z5,in,,,,,,
F,Z5,Z10,FT,Z9,in,,,,,,
N,Z9,Z13,FT,Z2,in,,,,,,
F,Z2,Z9,FT,Z10,in,,,,,,
N,Z10,Z13,FT,Z10,in,,,,,,
F,Z10,Z14,BS,Z2,in,,,,,,
N,Z2,Z8,BS,Z7,in,,,,,,
F,Z7,Z12,FT,Z7,in,,,,,,
N,Z7,Z11,BT,Z8,in,,,,,,
F,Z8,Z12,FT,Z7,in,,,,,,
N,Z7,Z12,BT,Z7,in,,,,,,
F,Z7,Z11,FT,Z12,long,forced,,yes,,,
F,,Z12,S,Z2,in,,,,,,
N,Z2,,,,no hit,forced,,yes,,,
F,,Z13,S,Z5,in,,,,,,
N,Z5,Z14,FT,Z13,long,unforced,,yes,,,
F,,Z12,S,Z4,wide,,,,,,
F,,Z12,S,Z2,in,,,,,,
N,Z2,Z11,BT,Z5,in,,,,,,
F,Z5,Z13,BT,Z8,in,,,,,,
N,Z8,Z12,FT,Z5,in,,,,,,
F,Z5,Z14,BT,Z11,long,unforced,,yes,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BL,Z9,in,,,,,,
F,Z9,Z10,FT,Z10,in,,,,,,
N,Z10,Z14,FT,,net,unforced,,yes,yes,,
N,,Z12,S,Z7,long,,,,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,BT,,net,unforced,,yes,,,
N,,Z13,S,Z4,let,,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,FT,,net,unforced,,yes,,,
N,,Z12,S,Z3,in,,,,,,
F,Z3,,,,no hit,forced,,yes,,,
N,,Z13,S,,net,unforced,,,,,
N,,Z13,S,Z4,in,,,,,,
F,Z4,Z13,FT,Z12,in,,,,,,
N,Z12,Z12,BL,Z11,in,,,,,,
F,Z11,Z11,FT,Z8,in,,,,,,
N,Z8,Z12,BT,Z9,in,,,,,,
F,Z9,Z13,BT,,net,unforced,,yes,yes,,
F,,Z12,S,Z1,in,,,,,,
N,Z1,Z11,BS,Z6,in,,,,,,
F,Z6,Z6,BV,Z5,in,,,,,,
N,Z5,,,,no hit,forced,,yes,,,
F,,Z13,S,Z3,wide,,,,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,Z13,BT,Z13,in,,,,,,
F,Z13,Z13,FT,Z9,in,,,,,,
N,Z9,Z12,FT,Z7,in,,,,,,
F,Z7,Z12,FT,Z10,in,,,,,,
N,Z10,Z13,FT,Z10,wide,unforced,,yes,,,
F,,Z12,S,Z1,in,,,,,,
N,Z1,Z11,BT,Z12,long,forced,,yes,,,
F,,Z13,S,Z4,in,,,,,,
N,Z4,,,,no hit,forced,,yes,yes,,
N,,Z12,S,Z1,let,,,,,,
N,,Z12,S,Z4,wide,,,,,,
N,,Z12,S,Z2,in,,,,,,
F,Z2,Z11,BS,Z4,in,,,,,,
N,Z4,Z8,FT,Z10,in,,,,,,
F,Z10,Z14,BT,,net,forced,,yes,,,
N,,Z13,S,,net,,,,,,
N,,Z13,S,Z5,in,,,,,,
F,Z5,Z14,BS,Z8,in,,,,,,
N,Z8,Z12,BT,Z7,in,,,,,,
F,Z7,Z11,FT,Z9,in,,,,,,
N,Z9,Z13,FT,Z10,in,,,,,,
F,Z10,Z14,BS,Z10,in,,,,,,
N,Z10,Z14,FT,,net,unforced,,yes,,,
N,,Z12,S,,let,,,,,,
N,,Z12,S,,net,,,,,,
N,,Z12,S,Z1,in,,,,,,
