"Player","Server","Stroke.Type","Opp.Stroke.Type","Ball.hit.to.lag4","Ball.hit.to.lag3","Ball.hit.to.lag2","Ball.lands","Ball.hit.from","Ball.hit.to","In.out","id","rally_num","hit.to.string","rally_length"
"N","0","FT",NA,NA,NA,NA,"Z5","Z5","Z5","In",2,"1","Z5_Z5_Z9_Z2_Z10_Z10_Z2_Z7_Z7_Z8_Z7_Z7_Z12",13
"F","1","FT","FT",NA,NA,"Z5","Z5","Z5","Z4","In",3,"1","Z5_Z5_Z9_Z2_Z10_Z10_Z2_Z7_Z7_Z8_Z7_Z7_Z12",13
"N","0","FT","FT",NA,"Z5","Z5","Z4","Z4","Z2","In",4,"1","Z5_Z5_Z9_Z2_Z10_Z10_Z2_Z7_Z7_Z8_Z7_Z7_Z12",13
"F","1","FT","FT","Z5","Z5","Z4","Z2","Z4","Z5","In",5,"1","Z5_Z5_Z9_Z2_Z10_Z10_Z2_Z7_Z7_Z8_Z7_Z7_Z12",13
"N","0","FT","FT","Z5","Z4","Z2","Z5","Z4","Z5","In",6,"1","Z5_Z5_Z9_Z2_Z10_Z10_Z2_Z7_Z7_Z8_Z7_Z7_Z12",13
"F","1","BS","FT","Z4","Z2","Z5","Z5","Z5","Z2","In",7,"1","Z5_Z5_Z9_Z2_Z10_Z10_Z2_Z7_Z7_Z8_Z7_Z7_Z12",13
"N","0","BS","BS","Z2","Z5","Z5","Z2","Z3","Z2","In",8,"1","Z5_Z5_Z9_Z2_Z10_Z10_Z2_Z7_Z7_Z8_Z7_Z7_Z12",13
"F","1","FT","BS","Z5","Z5","Z2","Z2","Z3","Z2","In",9,"1","Z5_Z5_Z9_Z2_Z10_Z10_Z2_Z7_Z7_Z8_Z7_Z7_Z12",13
"N","0","BT","FT","Z5","Z2","Z2","Z2","Z2","Z3","In",10,"1","Z5_Z5_Z9_Z2_Z10_Z10_Z2_Z7_Z7_Z8_Z7_Z7_Z12",13
"F","1","FT","BT","Z2","Z2","Z2","Z3","Z3","Z2","In",11,"1","Z5_Z5_Z9_Z2_Z10_Z10_Z2_Z7_Z7_Z8_Z7_Z7_Z12",13
"N","0","BT","FT","Z2","Z2","Z3","Z2","Z3","Z2","In",12,"1","Z5_Z5_Z9_Z2_Z10_Z10_Z2_Z7_Z7_Z8_Z7_Z7_Z12",13
"F","1","FT","BT","Z2","Z3","Z2","Z2","Z2","Z3","Long",13,"1","Z5_Z5_Z9_Z2_Z10_Z10_Z2_Z7_Z7_Z8_Z7_Z7_Z12",13
